X	Y
38.724453	-5.509158
38.728499	-5.519309
38.731325	-5.523013
38.731387	-5.523359
38.73069	-5.524016
38.730802	-5.524829
38.730315	-5.529978
38.72788	-5.540155
38.724292	-5.549862
38.720868	-5.557633
38.720008	-5.560379
38.719609	-5.56328
38.719558	-5.566067
38.719869	-5.573462
38.720462	-5.578187
38.721143	-5.580744
38.72304	-5.586519
38.725781	-5.592685
38.728949	-5.598041
38.734107	-5.605806
38.736238	-5.610578
38.742641	-5.623232
38.74329	-5.624242
38.74477	-5.625888
38.741654	-5.62834
38.739448	-5.631041
38.737665	-5.633821
38.736466	-5.635015
38.73527	-5.635784
38.731879	-5.636851
38.729219	-5.638077
38.727326	-5.639694
38.726007	-5.641894
38.725117	-5.642935
38.723921	-5.643742
38.723497	-5.643856
38.722036	-5.643693
38.718925	-5.642555
38.717046	-5.641462
38.714325	-5.639203
38.712292	-5.637915
38.710794	-5.637405
38.707488	-5.636885
38.706028	-5.636336
38.704262	-5.635553
38.697738	-5.632039
38.696548	-5.63153
38.695011	-5.631174
38.69351	-5.631167
38.69147	-5.631505
38.682341	-5.633897
38.679647	-5.634116
38.676031	-5.634059
38.664841	-5.632766
38.654811	-5.630204
38.650082	-5.629485
38.646043	-5.629388
38.64077	-5.629826
38.639583	-5.629776
38.641299	-5.632185
38.642206	-5.636015
38.642654	-5.63907
38.643447	-5.642745
38.645092	-5.653651
38.648555	-5.67137
38.649264	-5.676553
38.652074	-5.693614
38.65281	-5.701388
38.653312	-5.709546
38.654082	-5.71821
38.654455	-5.720879
38.656002	-5.727693
38.656963	-5.73659
38.657339	-5.738526
38.657674	-5.749591
38.65836	-5.749787
38.658479	-5.750249
38.658331	-5.751137
38.657989	-5.751681
38.656726	-5.752618
38.655883	-5.752973
38.655273	-5.753673
38.655012	-5.754871
38.655137	-5.756297
38.65557	-5.757758
38.655959	-5.758487
38.657314	-5.759785
38.660477	-5.761298
38.662175	-5.762323
38.663877	-5.763773
38.664617	-5.76527
38.664779	-5.766348
38.664559	-5.768047
38.663392	-5.771645
38.65975	-5.778736
38.658122	-5.782338
38.657409	-5.784928
38.657228	-5.786665
38.657319	-5.788669
38.657634	-5.789785
38.658257	-5.790859
38.659653	-5.79262
38.660357	-5.794388
38.660559	-5.79589
38.660829	-5.801634
38.662088	-5.805942
38.662571	-5.8091
38.662469	-5.810991
38.661951	-5.814042
38.662002	-5.815777
38.662988	-5.819548
38.663039	-5.821399
38.662299	-5.825493
38.661289	-5.829551
38.660695	-5.83268
38.660382	-5.837503
38.660601	-5.841435
38.660722	-5.842244
38.661625	-5.845052
38.662908	-5.847162
38.663303	-5.84874
38.663829	-5.852593
38.665624	-5.856666
38.666179	-5.85913
38.666044	-5.861947
38.665523	-5.864342
38.664205	-5.868402
38.66164	-5.875364
38.660815	-5.878378
38.66095	-5.88127
38.661575	-5.88273
38.662311	-5.883612
38.662669	-5.88546
38.662598	-5.886348
38.662074	-5.888396
38.661967	-5.889553
38.661516	-5.890984
38.660738	-5.895309
38.660919	-5.89928
38.66225	-5.902972
38.664967	-5.906847
38.665982	-5.909231
38.666538	-5.911965
38.667493	-5.922372
38.668361	-5.925721
38.66953	-5.92822
38.670345	-5.92941
38.671198	-5.930522
38.672435	-5.93171
38.675032	-5.935009
38.676462	-5.93631
38.678546	-5.937685
38.680819	-5.938711
38.683558	-5.940351
38.685716	-5.941301
38.68918	-5.942357
38.691642	-5.942803
38.693639	-5.942751
38.695826	-5.942312
38.697786	-5.942414
38.700134	-5.943132
38.701219	-5.944513
38.701837	-5.944972
38.703185	-5.94558
38.704647	-5.945841
38.705803	-5.946373
38.705768	-5.946836
38.708394	-5.953616
38.705505	-5.957655
38.703659	-5.959019
38.702888	-5.960878
38.700359	-5.964003
38.698063	-5.965919
38.694668	-5.968101
38.691933	-5.969279
38.68998	-5.96984
38.687981	-5.970187
38.685005	-5.970224
38.680973	-5.969572
38.679058	-5.968963
38.676678	-5.96735
38.675465	-5.965655
38.673107	-5.963848
38.67128	-5.962967
38.668438	-5.962009
38.66642	-5.961854
